"","project","round","change","count","size","ratio"
"332","47252dc3d34c5","P1","ADD_CHAR",11,3488,0.00315366972477064
"333","47260f074e03f","P1","ADD_CHAR",11,5436,0.00202354672553348
"334","4726964c65378","P1","ADD_CHAR",1,1052,0.000950570342205323
"335","472791473b441","P1","ADD_CHAR",1,727,0.00137551581843191
"336","47280d0307b04","P1","ADD_CHAR",1,593,0.00168634064080944
"337","472e66582f6a8","P1","ADD_CHAR",54,18415,0.0029323920716807
"338","472e8bf6b651f","P1","ADD_CHAR",41,6847,0.00598802395209581
"339","4730c160392f6","P1","ADD_CHAR",2,710,0.0028169014084507
"340","4730fe55616a1","P1","ADD_CHAR",1,2046,0.000488758553274682
"341","47312ec949df7","P1","ADD_CHAR",1,80,0.0125
"342","47340bf9c5e94","P1","ADD_CHAR",2,149,0.0134228187919463
"343","47346213cfcd4","P1","ADD_CHAR",1,2321,0.000430848772081
"344","4734635967235","P1","ADD_CHAR",1,3773,0.000265041081367612
"345","4735f58649c3e","P1","ADD_CHAR",2,4166,0.000480076812289966
"346","473604cd51f6d","P1","ADD_CHAR",2,626,0.00319488817891374
"347","473607b615c2f","P1","ADD_CHAR",5,1701,0.00293944738389183
"348","473607d75a658","P1","ADD_CHAR",2,1319,0.00151630022744503
"349","4737aa5a01a3b","P1","ADD_CHAR",1,443,0.00225733634311512
"350","47392d97aaee0","P1","ADD_CHAR",17,9302,0.00182756396473877
"351","473a134e36c9c","P1","ADD_CHAR",7,4258,0.00164396430248943
"352","473a26b0ab228","P1","ADD_CHAR",1,754,0.0013262599469496
"353","473a39b1d835d","P1","ADD_CHAR",7,3710,0.00188679245283019
"354","473a5367071cb","P1","ADD_CHAR",1,1185,0.000843881856540084
"355","473c8d9b4084a","P1","ADD_CHAR",4,1564,0.00255754475703325
"356","473cf06b4bc87","P1","ADD_CHAR",12,4806,0.00249687890137328
"357","473d6e5a886cd","P1","ADD_CHAR",7,2322,0.00301464254952627
"358","473d715a9c8c5","P1","ADD_CHAR",11,5480,0.00200729927007299
"359","473f26ce0a1b3","P1","ADD_CHAR",1,3914,0.000255493101686254
"360","473f5764e77c1","P1","ADD_CHAR",6,2550,0.00235294117647059
"361","473f88421aad1","P1","ADD_CHAR",2,1048,0.00190839694656489
"362","4740386b82af5","P1","ADD_CHAR",1,1027,0.000973709834469328
"363","4740aa63616c9","P1","ADD_CHAR",1,263,0.00380228136882129
"364","4740fc441c78d","P1","ADD_CHAR",12,5571,0.00215401184706516
"365","4741e178064c7","P1","ADD_CHAR",1,364,0.00274725274725275
"366","4743a81c6b847","P1","ADD_CHAR",6,2185,0.00274599542334096
"367","4743c37f8b64f","P1","ADD_CHAR",11,4850,0.0022680412371134
"368","4744512e669c5","P1","ADD_CHAR",13,26107,0.000497950741180526
"369","474451321c6dc","P1","ADD_CHAR",21,36672,0.000572643979057592
"370","47445136cf474","P1","ADD_CHAR",14,24090,0.00058115400581154
"371","4744513c736f4","P1","ADD_CHAR",17,25426,0.000668606937780225
